row_id,microbusiness_density
1001_2022-11-01,3.442677
1001_2022-12-01,3.4709148
1001_2023-01-01,3.3372338989153425
1001_2023-02-01,3.350735856699221
1001_2023-03-01,3.3642378144831
1001_2023-04-01,3.3777397722669784
1001_2023-05-01,3.3934920563481707
1001_2023-06-01,3.406994014132049
1003_2022-11-01,8.2576361
1003_2022-12-01,8.2506304
1003_2023-01-01,7.961034221386261
1003_2023-02-01,7.990791948569664
1003_2023-03-01,8.014935010246765
1003_2023-04-01,8.02672580781
1003_2023-05-01,8.039078071923864
1003_2023-06-01,8.055922068442772
1005_2022-11-01,1.2472228
1005_2022-12-01,1.2522722
1005_2023-01-01,1.245311327831958
1005_2023-02-01,1.2503125781445361
1005_2023-03-01,1.2553138284571144
1005_2023-04-01,1.2603150787696924
1005_2023-05-01,1.2653163290822707
1005_2023-06-01,1.2703175793948487
1007_2022-11-01,1.2759978
1007_2022-12-01,1.28724
1007_2023-01-01,1.292134831460674
1007_2023-02-01,1.297752808988764
1007_2023-03-01,1.303370786516854
1007_2023-04-01,1.3089887640449438
1007_2023-05-01,1.3146067415730336
1007_2023-06-01,1.3202247191011236
1009_2022-11-01,1.8362887
1009_2022-12-01,1.8520604
1009_2023-01-01,1.827393199265503
1009_2023-02-01,1.8362425610052875
1009_2023-03-01,1.8428795823101258
1009_2023-04-01,1.8517289440499105
1009_2023-05-01,1.8605783057896947
1009_2023-06-01,1.8694276675294794
1011_2022-11-01,1.013428
1011_2022-12-01,1.0260957
1011_2023-01-01,1.0021031795125572
1011_2023-02-01,1.0021031795125572
1011_2023-03-01,1.0021031795125572
1011_2023-04-01,1.0021031795125572
1011_2023-05-01,1.0021031795125572
1011_2023-06-01,1.0021031795125572
1013_2022-11-01,2.1859705
1013_2022-12-01,2.1990211
1013_2023-01-01,2.2880669546436283
1013_2023-02-01,2.294816414686825
1013_2023-03-01,2.3083153347732184
1013_2023-04-01,2.3218142548596115
1013_2023-05-01,2.335313174946004
1013_2023-06-01,2.348812095032397
1015_2022-11-01,2.7837641
1015_2022-12-01,2.7915807
1015_2023-01-01,2.7589162106928606
1015_2023-02-01,2.769903531324851
1015_2023-03-01,2.781989584020041
1015_2023-04-01,2.7940756367152306
1015_2023-05-01,2.8061616894104207
1015_2023-06-01,2.8182477421056102
1017_2022-11-01,1.4689778
1017_2022-12-01,1.472754
1017_2023-01-01,1.4219384793964016
1017_2023-02-01,1.4291932675565875
1017_2023-03-01,1.4364480557167731
1017_2023-04-01,1.4437028438769588
1017_2023-05-01,1.4473302379570516
1017_2023-06-01,1.4509576320371445
1019_2022-11-01,1.1363636
1019_2022-12-01,1.145873
1019_2023-01-01,1.2023052464228934
1019_2023-02-01,1.2072734499205087
1019_2023-03-01,1.212241653418124
1019_2023-04-01,1.2172098569157392
1019_2023-05-01,1.2221780604133545
1019_2023-06-01,1.2271462639109698
1021_2022-11-01,1.8340429
1021_2022-12-01,1.8012922
1021_2023-01-01,1.7823639774859286
1021_2023-02-01,1.7911585365853657
1021_2023-03-01,1.7970215759849906
1021_2023-04-01,1.8028846153846152
1021_2023-05-01,1.80874765478424
1021_2023-06-01,1.8146106941838651
1023_2022-11-01,1.6753209
1023_2022-12-01,1.6557264
1023_2023-01-01,1.665686850872036
1023_2023-02-01,1.6754850088183422
1023_2023-03-01,1.6852831667646482
1023_2023-04-01,1.6950813247109544
1023_2023-05-01,1.7048794826572604
1023_2023-06-01,1.7146776406035666
1025_2022-11-01,1.3473054
1025_2022-12-01,1.3205731
1025_2023-01-01,1.3650374284456186
1025_2023-02-01,1.370541611624835
1025_2023-03-01,1.376045794804051
1025_2023-04-01,1.3815499779832672
1025_2023-05-01,1.3870541611624834
1025_2023-06-01,1.3925583443416998
1027_2022-11-01,1.5924171
1027_2022-12-01,1.5734597
1027_2023-01-01,1.4954777469329277
1027_2023-02-01,1.504432703501388
1027_2023-03-01,1.5133876600698486
1027_2023-04-01,1.5223426166383094
1027_2023-05-01,1.53129757320677
1027_2023-06-01,1.5402525297752305
1029_2022-11-01,1.3469176
1029_2022-12-01,1.3469176
1029_2023-01-01,1.3530983366370768
1029_2023-02-01,1.361716797379988
1029_2023-03-01,1.361716797379988
1029_2023-04-01,1.3703352581228991
1029_2023-05-01,1.3789537188658105
1029_2023-06-01,1.3789537188658105
1031_2022-11-01,2.2113023
1031_2022-12-01,2.2413878
1031_2023-01-01,2.2268460033192143
1031_2023-02-01,2.2367541056699114
1031_2023-03-01,2.249139233608283
1031_2023-04-01,2.261524361546655
1031_2023-05-01,2.2739094894850265
1031_2023-06-01,2.286294617423398
1033_2022-11-01,2.4391928
1033_2022-12-01,2.441494
1033_2023-01-01,2.382282611124768
1033_2023-02-01,2.39122175788321
1033_2023-03-01,2.400160904641652
1033_2023-04-01,2.4068652647104836
1033_2023-05-01,2.415804411468925
1033_2023-06-01,2.4247435582273673
1035_2022-11-01,1.095947
1035_2022-12-01,1.013234
1035_2023-01-01,1.0507129838104428
1035_2023-02-01,1.0507129838104428
1035_2023-03-01,1.0507129838104428
1035_2023-04-01,1.0507129838104428
1035_2023-05-01,1.0507129838104428
1035_2023-06-01,1.0507129838104428
1037_2022-11-01,0.80600023
1037_2022-12-01,0.79480577
1037_2023-01-01,0.8117996798536473
1037_2023-02-01,0.8117996798536473
1037_2023-03-01,0.8117996798536473
1037_2023-04-01,0.8117996798536473
1037_2023-05-01,0.8117996798536473
1037_2023-06-01,0.8117996798536473
1039_2022-11-01,1.6914703
1039_2022-12-01,1.7224748
1039_2023-01-01,1.7252023597201265
1039_2023-02-01,1.7354918370146795
1039_2023-03-01,1.742351488544382
1039_2023-04-01,1.7526409658389352
1039_2023-05-01,1.762930443133489
1039_2023-06-01,1.7732199204280423
1041_2022-11-01,1.0519457
1041_2022-12-01,1.0333271
1041_2023-01-01,1.080817916260954
1041_2023-02-01,1.0808179162609541
1041_2023-03-01,1.0808179162609541
1041_2023-04-01,1.0808179162609541
1041_2023-05-01,1.0808179162609541
1041_2023-06-01,1.0808179162609541
1043_2022-11-01,2.7058387
1043_2022-12-01,2.7367802
1043_2023-01-01,2.6361830204904666
1043_2023-02-01,2.65249236426178
1043_2023-03-01,2.6643537051863713
1043_2023-04-01,2.6776977137265368
1043_2023-05-01,2.692524389882276
1043_2023-06-01,2.7088337336535897
1045_2022-11-01,1.770098
1045_2022-12-01,1.7885365
1045_2023-01-01,1.79322675641565
1045_2023-02-01,1.80374421539756
1045_2023-03-01,1.8116323096339926
1045_2023-04-01,1.8195204038704247
1045_2023-05-01,1.8274084981068572
1045_2023-06-01,1.8379259570887672
1047_2022-11-01,1.463583
1047_2022-12-01,1.4842941
1047_2023-01-01,1.453860133270512
1047_2023-02-01,1.4572255502456755
1047_2023-03-01,1.463956384196002
1047_2023-04-01,1.4706872181463282
1047_2023-05-01,1.480783469071818
1047_2023-06-01,1.4908797199973076
1049_2022-11-01,2.2713821
1049_2022-12-01,2.2806304
1049_2023-01-01,2.2869598950732457
1049_2023-02-01,2.2943491031348717
1049_2023-03-01,2.3017383111964973
1049_2023-04-01,2.31097482127353
1049_2023-05-01,2.322058633365969
1049_2023-06-01,2.3312951434430014
1051_2022-11-01,3.2578328
1051_2022-12-01,3.2578328
1051_2023-01-01,3.0600333929283825
1051_2023-02-01,3.0762865881588084
1051_2023-03-01,3.0895846569837024
1051_2023-04-01,3.0954949097947666
1051_2023-05-01,3.1073154154168945
1051_2023-06-01,3.1176583578362562
1053_2022-11-01,1.9449117
1053_2022-12-01,1.948416
1053_2023-01-01,1.960096777586872
1053_2023-02-01,1.9706160805077317
1053_2023-03-01,1.9811353834285914
1053_2023-04-01,1.9916546863494513
1053_2023-05-01,1.9986675549633577
1053_2023-06-01,2.0091868578842176
1055_2022-11-01,2.7364635
1055_2022-12-01,2.7327421
1055_2023-01-01,2.730817641106641
1055_2023-02-01,2.740689553049187
1055_2023-03-01,2.744391520027641
1055_2023-04-01,2.750561464991732
1055_2023-05-01,2.755497420963005
1055_2023-06-01,2.7579653989486412
1057_2022-11-01,1.04368
1057_2022-12-01,1.035949
1057_2023-01-01,1.0409383981977782
1057_2023-02-01,1.0409383981977782
1057_2023-03-01,1.0409383981977782
1057_2023-04-01,1.0409383981977782
1057_2023-05-01,1.0409383981977782
1057_2023-06-01,1.0409383981977782
1059_2022-11-01,1.9196693
1059_2022-12-01,1.9576406
1059_2023-01-01,1.9468582887700536
1059_2023-02-01,1.9552139037433154
1059_2023-03-01,1.9635695187165774
1059_2023-04-01,1.9719251336898396
1059_2023-05-01,1.9802807486631016
1059_2023-06-01,1.9886363636363635
1061_2022-11-01,1.4571595
1061_2022-12-01,1.4765882
1061_2023-01-01,1.4781894594464036
1061_2023-02-01,1.487850828462393
1061_2023-03-01,1.4926815129703879
1061_2023-04-01,1.5023428819863773
1061_2023-05-01,1.512004251002367
1061_2023-06-01,1.5216656200183567
1063_2022-11-01,1.4252517
1063_2022-12-01,1.4872192
1063_2023-01-01,1.5681149950996405
1063_2023-02-01,1.5681149950996405
1063_2023-03-01,1.5681149950996405
1063_2023-04-01,1.5681149950996405
1063_2023-05-01,1.5681149950996405
1063_2023-06-01,1.5681149950996405
1065_2022-11-01,1.173771
1065_2022-12-01,1.1561204
1065_2023-01-01,1.154591926670192
1065_2023-02-01,1.154591926670192
1065_2023-03-01,1.154591926670192
1065_2023-04-01,1.154591926670192
1065_2023-05-01,1.154591926670192
1065_2023-06-01,1.154591926670192
1067_2022-11-01,2.4985259
1067_2022-12-01,2.5132666
1067_2023-01-01,2.527262010020631
1067_2023-02-01,2.541998231653404
1067_2023-03-01,2.5567344532861775
1067_2023-04-01,2.571470674918951
1067_2023-05-01,2.586206896551724
1067_2023-06-01,2.6009431181844977
1069_2022-11-01,3.4119666
1069_2022-12-01,3.4354208
1069_2023-01-01,3.419880579483164
1069_2023-02-01,3.433339859044636
1069_2023-03-01,3.4504698512137826
1069_2023-04-01,3.465152701644479
1069_2023-05-01,3.4810591229444006
1069_2023-06-01,3.498189115113547
1071_2022-11-01,1.7359413
1071_2022-12-01,1.7334963
1071_2023-01-01,1.7146991438562644
1071_2023-02-01,1.7195224888460148
1071_2023-03-01,1.7243458338357651
1071_2023-04-01,1.7267575063306402
1071_2023-05-01,1.7291691788255155
1071_2023-06-01,1.7315808513203907
1073_2022-11-01,6.5230136
1073_2022-12-01,6.5194721
1073_2023-01-01,6.426604140190129
1073_2023-02-01,6.440317216284182
1073_2023-03-01,6.451133163625969
1073_2023-04-01,6.456541137296863
1073_2023-05-01,6.461755969050939
1073_2023-06-01,6.478945599647709
1075_2022-11-01,0.9155646
1075_2022-12-01,0.9155646
1075_2023-01-01,0.9077571978727306
1075_2023-02-01,0.9077571978727306
1075_2023-03-01,0.9077571978727306
1075_2023-04-01,0.9077571978727306
1075_2023-05-01,0.9077571978727306
1075_2023-06-01,0.9077571978727306
1077_2022-11-01,4.0415831
1077_2022-12-01,4.021462
1077_2023-01-01,4.0192539109506615
1077_2023-02-01,4.03529883674288
1077_2023-03-01,4.040647145340286
1077_2023-04-01,4.048669608236395
1077_2023-05-01,4.056692071132504
1077_2023-06-01,4.064714534028614
1079_2022-11-01,1.3510375
1079_2022-12-01,1.3316816
1079_2023-01-01,1.3386466514489108
1079_2023-02-01,1.3425155724068558
1079_2023-03-01,1.3463844933648006
1079_2023-04-01,1.3502534143227454
1079_2023-05-01,1.3541223352806901
1079_2023-06-01,1.3579912562386351
1081_2022-11-01,4.0424724
1081_2022-12-01,4.0339408
1081_2023-01-01,3.856448675313567
1081_2023-02-01,3.8793071665056735
1081_2023-03-01,3.8947919508616176
1081_2023-04-01,3.910276735217561
1081_2023-05-01,3.9257615195735047
1081_2023-06-01,3.943458415980297
1083_2022-11-01,2.9649847
1083_2022-12-01,2.9703102
1083_2023-01-01,2.8571792520126365
1083_2023-02-01,2.8737389177621524
1083_2023-03-01,2.8864771221848566
1083_2023-04-01,2.8992153266075613
1083_2023-05-01,2.9132273514725364
1083_2023-06-01,2.9272393763375115
1085_2022-11-01,1.3861899
1085_2022-12-01,1.3861899
1085_2023-01-01,1.3369986255154316
1085_2023-02-01,1.3369986255154316
1085_2023-03-01,1.3369986255154316
1085_2023-04-01,1.3369986255154316
1085_2023-05-01,1.3369986255154316
1085_2023-06-01,1.3369986255154316
1087_2022-11-01,1.8625393
1087_2022-12-01,1.9215635
1087_2023-01-01,1.83047902705386
1087_2023-02-01,1.8428890543559198
1087_2023-03-01,1.8552990816579795
1087_2023-04-01,1.8677091089600397
1087_2023-05-01,1.8801191362620997
1087_2023-06-01,1.89252916356416
1089_2022-11-01,6.5904584
1089_2022-12-01,6.6231689
1089_2023-01-01,6.413939440665864
1089_2023-02-01,6.444108487893832
1089_2023-03-01,6.473942323485933
1089_2023-04-01,6.497407137996575
1089_2023-05-01,6.529922666675605
1089_2023-06-01,6.568807216436097
1091_2022-11-01,1.3613777
1091_2022-12-01,1.3886052
1091_2023-01-01,1.3670312083222191
1091_2023-02-01,1.3736996532408643
1091_2023-03-01,1.3803680981595092
1091_2023-04-01,1.3870365430781542
1091_2023-05-01,1.393704987996799
1091_2023-06-01,1.4003734329154442
1093_2022-11-01,1.6226064
1093_2022-12-01,1.6226064
1093_2023-01-01,1.658910720441227
1093_2023-02-01,1.6632195794553601
1093_2023-03-01,1.6675284384694935
1093_2023-04-01,1.6718372974836262
1093_2023-05-01,1.6761461564977593
1093_2023-06-01,1.6804550155118927
1095_2022-11-01,2.7872536
1095_2022-12-01,2.8191473
1095_2023-01-01,2.8179111062093307
1095_2023-02-01,2.831697364067497
1095_2023-03-01,2.8468622477114813
1095_2023-04-01,2.8592698797838314
1095_2023-05-01,2.874434763427815
1095_2023-06-01,2.889599647071799
1097_2022-11-01,4.1074009
1097_2022-12-01,4.0755191
1097_2023-01-01,4.086554396376205
1097_2023-02-01,4.094761596616108
1097_2023-03-01,4.099496519831437
1097_2023-04-01,4.106125412332896
1097_2023-05-01,4.111491658643603
1097_2023-06-01,4.114016951025111
1099_2022-11-01,1.1188811
1099_2022-12-01,1.1310428
1099_2023-01-01,1.1854951185495115
1099_2023-02-01,1.191834664638012
1099_2023-03-01,1.198174210726512
1099_2023-04-01,1.204513756815012
1099_2023-05-01,1.210853302903512
1099_2023-06-01,1.2171928489920123
1101_2022-11-01,4.7775464
1101_2022-12-01,4.7556095
1101_2023-01-01,4.725229452289946
1101_2023-02-01,4.7338124556544825
1101_2023-03-01,4.741251058570415
1101_2023-04-01,4.748689661486347
1101_2023-05-01,4.755556064177977
1101_2023-06-01,4.763566867318212
1103_2022-11-01,3.0195613
1103_2022-12-01,3.0674045
1103_2023-01-01,3.010455920598694
1103_2023-02-01,3.024255612759408
1103_2023-03-01,3.0412398492649007
1103_2023-04-01,3.0582240857703944
1103_2023-05-01,3.0752083222758877
1103_2023-06-01,3.0911310439997877
1105_2022-11-01,0.61324042
1105_2022-12-01,0.62717772
1105_2023-01-01,0.6564551422319475
1105_2023-02-01,0.6564551422319475
1105_2023-03-01,0.6564551422319475
1105_2023-04-01,0.6564551422319475
1105_2023-05-01,0.6564551422319475
1105_2023-06-01,0.6564551422319475
1107_2022-11-01,0.7700907
1107_2022-12-01,0.77630109
1107_2023-01-01,0.8034451729014012
1107_2023-02-01,0.8034451729014012
1107_2023-03-01,0.8034451729014012
1107_2023-04-01,0.8034451729014012
1107_2023-05-01,0.8034451729014012
1107_2023-06-01,0.8034451729014012
1109_2022-11-01,1.9785838
1109_2022-12-01,1.9600579
1109_2023-01-01,1.9837118947997607
1109_2023-02-01,1.994919306634788
1109_2023-03-01,2.0023909145248058
1109_2023-04-01,2.006126718469815
1109_2023-05-01,2.0135983263598325
1109_2023-06-01,2.0210699342498506
1111_2022-11-01,5.3689027
1111_2022-12-01,5.0117202
1111_2023-01-01,5.224745134383689
1111_2023-02-01,5.2305375347544025
1111_2023-03-01,5.236329935125116
1111_2023-04-01,5.2421223354958295
1111_2023-05-01,5.2537071362372565
1111_2023-06-01,5.25949953660797
1113_2022-11-01,2.5092704
1113_2022-12-01,2.5502195
1113_2023-01-01,2.526565932834148
1113_2023-02-01,2.5377751871945478
1113_2023-03-01,2.5534681432991078
1113_2023-04-01,2.5646773976595076
1113_2023-05-01,2.5781285028919876
1113_2023-06-01,2.5915796081244675
1115_2022-11-01,2.9796512
1115_2022-12-01,3.0261629
1115_2023-01-01,2.995322490666438
1115_2023-02-01,3.011057231543864
1115_2023-03-01,3.0282224034101475
1115_2023-04-01,3.0439571442875737
1115_2023-05-01,3.062552747142714
1115_2023-06-01,3.081148349997854
1117_2022-11-01,7.5143704
1117_2022-12-01,7.5433531
1117_2023-01-01,7.416120871066134
1117_2023-02-01,7.452769961932234
1117_2023-03-01,7.4911923959047595
1117_2023-04-01,7.521930343082779
1117_2023-05-01,7.555032747736032
1117_2023-06-01,7.594046296077366
1119_2022-11-01,1.0029498
1119_2022-12-01,1.0127827
1119_2023-01-01,1.0240604493935177
1119_2023-02-01,1.0240604493935177
1119_2023-03-01,1.0240604493935177
1119_2023-04-01,1.0240604493935177
1119_2023-05-01,1.0240604493935177
1119_2023-06-01,1.0240604493935177
1121_2022-11-01,1.7184956
